"region","ridership_length","ridership_stations","length_stations"
"asia",0.0807637966758054,0.124084385990358,0.998204357627779
"europe",-0.2945888189921,-0.190417377041733,0.958094502701641
"South America",0.323086549111336,0.252289937601719,0.942512563234838
"North America",-1,-1,1
"Africa",-1,-1,1
